Date,Open,Volume,Low,Close,High
2025-01-02,247.57754859678104,55740700,240.5061920078161,242.5251617431641,247.74663833648884
2025-01-03,242.03782653808597,40244100,240.5758118291158,242.03782653808597,242.85336358935692
2025-01-06,242.9826459215422,45045600,241.8786760145675,243.6688995361328,245.98624232017477
2025-01-07,241.6598791297847,40856000,240.0387452815234,240.89407348632807,244.215923537777
2025-01-08,240.6056476428208,37628900,238.74581220273615,241.38140869140625,242.38593107741448
2025-01-10,238.70600665338927,61710900,231.73409784256123,235.5631866455078,238.8552008004512
2025-01-13,232.26124214226888,49630700,228.4719441071402,233.1265106201172,233.3950479730624
2025-01-14,233.47460320476435,39435300,231.2069916592748,232.01258850097656,234.8371551382162
2025-01-15,233.36518970349533,39832000,233.15632396556444,236.57763671875,237.66172623332488
2025-01-16,236.06047699847065,71759100,226.7911055301388,227.0198516845703,236.7168796666606
2025-01-17,230.85888730040747,68488300,227.2386640256131,228.7305145263672,231.0279618693864
2025-01-21,222.78298573737737,98070400,218.18809151282764,221.4303741455078,223.20070201452856
2025-01-22,218.59586314481808,64126500,218.59586314481808,222.61392211914065,222.90233985709412
2025-01-23,223.519004229982,60234800,221.09225820038623,222.4448699951172,225.79655609657797
2025-01-24,223.5587597719764,54697900,220.2070739772995,221.5696258544922,224.4041477572621
2025-01-27,222.80289291870477,94863400,222.76310174211312,228.6111602783203,230.8887119218524
2025-01-28,229.5958003833341,75707600,229.5560092044273,236.9655303955078,238.88505261672515
2025-01-29,232.8480036441672,45486100,232.73860067537265,238.05953979492188,238.5568232574634
2025-01-30,237.3732826437262,55658300,235.92122345328548,236.2991485595703,239.48175963713217
2025-01-31,245.8470107317681,100959800,232.1717149504871,234.71780395507807,245.8470107317681
2025-02-03,228.7404632470789,73063300,224.4737624406888,226.77120971679688,230.5704628324937
2025-02-04,226.01533721300711,45067300,225.4185909783935,231.53518676757807,231.8633956790269
2025-02-05,227.2883891710869,39620300,227.0298072213747,231.2069854736328,231.4058958330951
2025-02-06,230.03338922164468,29925300,229.1780610151748,231.95291137695312,232.5297620441898
2025-02-07,231.33627899238985,39707200,226.0252799376335,226.39328002929688,232.72866665415376
2025-02-10,228.57379092662129,33115600,226.21406518332185,226.662109375,229.58935370973876
2025-02-11,227.2097171947109,53718400,227.1400288616486,231.61053466796875,234.2092091135714
2025-02-12,230.19670873650108,45243300,229.67896101319025,235.84210205078125,235.93172304376256
2025-02-13,235.8819260401158,53614100,234.5477446540096,240.48187255859372,241.2883551100076
2025-02-14,240.2031053319298,40896200,239.9442390607952,243.53857421875,244.4844486934593
2025-02-18,243.0905000064508,48822500,240.7905267294893,243.40911865234372,244.11602908498716
2025-02-19,243.59827761149603,32204200,242.1047870084227,243.80735778808597,244.9424100387188
2025-02-20,243.87707690453925,32316900,243.2298884862767,244.76321411132807,245.70908851524857
2025-02-21,244.88269415360097,53197400,244.15586625078132,244.48443603515625,247.61080936192477
2025-02-24,243.86711335623195,51326400,243.3593319822528,246.0277099609375,247.7800669312537
2025-02-25,246.92379728169456,48013300,243.84721006662005,245.96795654296875,248.91511822751468
2025-02-26,243.26972892021308,44433600,238.0922974197643,239.31695556640625,243.91690216055417
2025-02-27,238.3710773588995,41153600,236.0312691715791,236.27023315429688,241.4078448384303
2025-02-28,235.92174819400608,56833400,229.2010399398617,240.79052734375,241.03944246427383
2025-03-03,240.7407483660274,47184000,235.085403953726,236.9970703125,242.971033380884
2025-03-04,236.6784633674393,53798100,233.6615980851158,234.9061737060547,239.02822274747484
2025-03-05,234.39839184729652,47227600,228.235250954078,234.71701049804688,235.5234930679701
2025-03-06,233.42265485870865,45170400,232.1482106078643,234.3087921142578,236.82781201573715
2025-03-07,234.0897400039076,46273600,233.74125275300776,238.03256225585935,240.32256924437755
2025-03-10,234.5178647329352,72071200,223.24699590534985,226.4928436279297,235.13518456664028
2025-03-11,222.83878108425105,76137400,216.5063794973434,219.8816680908203,224.85997074742772
2025-03-12,219.1847280923864,62547500,213.9774273081433,216.03843688964844,220.78774229692388
2025-03-13,215.01287598245443,61368300,207.51555384047248,208.77008056640625,215.899013195213
2025-03-14,210.3332830996676,60107600,208.67053186821337,212.5635681152344,213.0215634427817
2025-03-17,212.38435712144667,48073400,209.05885441116683,213.0713653564453,214.2860724865002
2025-03-18,213.230666286154,42432400,210.57225445008928,211.7670440673828,214.2163605039484
2025-03-19,213.29039128502816,54385400,212.8224296395377,214.30596923828125,217.8106832228152
2025-03-20,213.0613904363763,48862900,211.29906714235267,213.17091369628903,216.5462020975973
2025-03-21,210.6419412957371,94127800,210.3631575600964,217.3228302001953,217.8903488075446
2025-03-24,220.04097309502072,44299500,217.63147647971348,219.7721405029297,220.5188858867363
2025-03-25,219.81197343150768,34493600,219.1249652538438,222.77903747558597,223.1275247285548
2025-03-26,222.5400680439697,34466100,219.51326687455483,220.56866455078125,224.04352508950677
2025-03-27,220.42929982881355,37094800,219.6028997069453,222.87863159179688,224.0136840691367
2025-03-28,220.70805090185613,39818600,216.7353602231078,216.95440673828125,222.83876366462027
2025-03-31,216.0682844554902,65299300,215.29167046357225,221.16607666015625,224.64092215942225
